CATEGORY_NAME,CATEGORY_ID,CATEGORY_DESCRIPTION,CATEGORY_IMAGES,CATEGORY_PUBLISHED,CATEGORY_ACTIVE
VODKA,vodka,,,TRUE,TRUE
RUM,rum,,,TRUE,TRUE
GIN,gin,,,TRUE,TRUE
CUSTOM BUNDLE,custom-bundle,,,TRUE,TRUE
LIQUEURS,liqueurs,,,TRUE,TRUE
TEQUILA,tequila,,,TRUE,TRUE
FLAVOURED VODKA,flavouredvodka,,,TRUE,TRUE
PREMIUM VODKA,premiumvodka,,,TRUE,TRUE
SPICED RUM,spicedrum,,,TRUE,TRUE
FLAVOURED RUM,flavouredrum,,,TRUE,TRUE
DARK RUM,darkrum,,,TRUE,TRUE
GOLD RUM,goldrum,,,TRUE,TRUE
WHITE RUM,whiterum,,,TRUE,TRUE
NAVY RUM,navyrum,,,TRUE,TRUE
FLAVOURED GIN,flavouredgin,,,TRUE,TRUE
DRY GIN,drygin,,,TRUE,TRUE
SLOE GIN,sloegin,,,TRUE,TRUE
OLD TOM GIN,oldtomgin,,,TRUE,TRUE
