Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
liverpool-valencian-orange-gin,Liverpool Valencian Orange Gin,"<h3 style=""text-align: center;"">43% 70cl</h3>
<p>A fantastic tasting orange scented organic gin that's bursting with distinctive flavours from Liverpool Gin's blend of organic botanicals and zesty citrus note from the organic oranges brought over from Valencia.</p>
<p>Head distiller John O'Dowd created this gin to celebrate his son's Wedding day and welcome his daughter in law into the family using the oranges from her home town of Valencia.</p>",thedropstore.com,Gin,"citrus, Flavour_Citrus, orange, organic, Price range_Under £30, Size_Regular bottle, Style_Flavoured gin, zesty",FALSE,Title,Default Title,,,,,,1300,shopify,0,deny,manual,25,29,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,14.15
liverpool-organic-rose-petal-gin-12x5cl,Liverpool Organic Rose Petal Gin 12x5cl,"<h3 style=""text-align: center;"">43% 12x5cl</h3>
<p>A fantastically floral gin from the folks at the Liverpool Distillery, based around the flavours of rose petals. Made with organic ingredients, this will add a refreshing twist to a G&amp;T, particularly if you can get your hands on some elderflower tonic.</p>",thedropstore.com,Gin,"Flavour_Floral, fragrant, miniature, organic, Price range_Under £30, refreshing, rose petal, Size_Miniature bottle, Style_Flavoured gin",FALSE,Title,Default Title,,,,,'10017955,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-rhubarb-ginger-gin-12x5cl,Aber Falls Rhubarb & Ginger Gin 12x5cl,"<p style=""text-align: center;"">41.3% 5cl</p>
<p>Inspired by the warming, homely flavours of rhubarb &amp; ginger crumble, a classic taste that brings back fond memories of Sunday dinners and family gatherings.</p>
<p>With subtle spices and tart rhubarb, perfectly balanced by distinctive piney juniper notes, leaving a warming sensation and complemented by a taste of ginger to finish.</p>
<p> </p>
<p> </p>",thedropstore.com,Gin,"crumble, Flavour_Fruity, Flavour_Spicy, ginger, juniper, miniature, piney, rhubarb, Size_Miniature bottle, Size_Regular bottle, Style_Flavoured gin",FALSE,Title,Default Title,,,,,'10017954,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-salted-toffee-liqueur-12x5cl,Aber Falls Salted Toffee Liqueur 12x5cl,"<p style=""text-align: center;"">20.3% 5cl</p>
<p>In collaboration with Halen Môn PDO, they have developed a liqueur which combines a rich, smooth toffee flavour with the clean, intense notes of Anglesey Sea Salt, which has been praised by the likes of Gordon Ramsay, Heston Blumenthal and even Barack Obama for its unique taste.</p>
<p>Smooth and velvety palate with hints of burnt sugar. A joyous harmony of salt and toffee flavours to satisfy your sweet tooth.</p>
<p><strong>San Francisco World Spirits Competition <span class=""silver"">Silver Winner</span> 2018</strong></p>",thedropstore.com,Liqueur,"award winning, burnt sugar, Flavour_Sweet, Price range_Under £30, rich, salted toffee, Size_Miniature bottle, smooth, Style_Flavoured liqueur, sweet, toffee, velvety",FALSE,Title,Default Title,,,,,'10017953,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-coffee-dark-chocolate-liqueur-12x5cl,Aber Falls Coffee & Dark Chocolate Liqueur 12x5cl,"<p style=""text-align: center;"">20.6% 5cl</p>
<p>Inspired by the popular Espresso Martini, this liqueur perfectly balances the roasted, aromatic coffee flavour with the bitter-sweet hints of dark chocolate.</p>
<p>A roasted coffee aroma to wake the senses, balanced with cocoa notes, creating deliciously rich flavours and a velvety, sweet finish.</p>
<p><strong>San Francisco World Spirits Competition <span class=""bronze"">Bronze Winner</span> 2018</strong></p>",thedropstore.com,Liqueur,"aromatic, award winning, cocoa, coffee, dark chocolate, espresso, Flavour_Chocolate, Flavour_Coffee, Price range_Under £30, rich, roasted, Size_Miniature bottle, Style_Flavoured liqueur, sweet, velvety",FALSE,Title,Default Title,,,,,'10017952,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-violet-liqueur-12x5cl,Aber Falls Violet Liqueur 12x5cl,"<p style=""text-align: center;"">20.8% 5cl</p>
<p>Found growing in a distinctive purple blanket along the Menai Strait, the flavour of violet brings back memories of your favourite childhood sweets, with a unique floral taste and aroma to wake the senses.</p>
<p>A smooth and refined fragrance with a light, delicate taste, sweet violet notes and a perfumed finish to contrast the palate.</p>
<p><strong>San Francisco World Spirits Competition <span class=""silver"">Silver Winner</span> 2018</strong></p>",thedropstore.com,Liqueur,"award winning, Flavour_Floral, floral, light, parma violet, perfumed, Price range_Under £30, Size_Miniature bottle, Style_Flavoured liqueur, violet",FALSE,Title,Default Title,,,,,'10017951,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,10.48
peaky-blinder-gin-12-pack-of-miniatures,Peaky Blinder Gin 12 Pack of Miniatures,"<div style=""text-align: center;"">
<p><span>40% 12x5cl</span></p>
<p><span></span>In England's famous 'Black Country', the Sadler's family have been purveyors of the finest beers and spirits since 1861. Over a century's worth of knowledge and passion has led the family to create this bold, small batch, handcrafted spiced gin, blended with exotic spices and botanicals. </p>
</div>
<div style=""text-align: center;""></div>",thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, flavour_lemon, juniper, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,'10017950,1000,shopify,0,deny,manual,12,20,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,10.48
marylebone-gin-12-pack-of-miniatures,Marylebone Gin 12 Pack of Miniatures,"<div style=""text-align: center;"">50.2% 12x5cl</div>
<div style=""text-align: center;"">
<p><span>Marylebone London Dry Gin is made in London by the Pleasure Gardens Distilling Co., using a combination of botanicals including juniper, lime flower, lemon balm, clove, liquorice, chamomile and grapefruit.</span></p>
</div>",thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, flavour_lemon, juniper, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,'10017949,1000,shopify,0,deny,manual,12,30,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,18.82
city-of-london-distillery-lemon-six-bells-12-pack-of-miniatures,City of London Distillery Lemon Six Bells 12 Pack of Miniatures,"<div style=""text-align: center;"">43.5% 12x5cl</div>
<div style=""text-align: center;"">
<p>Six Bells Lemon has a classic gin base with citrus notes enhanced using vapour distillation to make the citrus notes sing.</p>
<p>This gin is citrus forward with a traditional London Gin botanical base and is complex yet bright, making for delicious G&amp;T’s as well as being exceptionally versatile in cocktails.</p>
</div>",thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, flavour_lemon, juniper, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,'10015647,1000,shopify,0,deny,manual,12,30,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,20.52
city-of-london-distillery-murcian-orange-12-pack-of-miniatures,City of London Distillery Murcian Orange 12 Pack of Miniatures,"<div style=""text-align: center;"">43.5% 12x5cl</div>
<div style=""text-align: center;""><span>Bold and warming. Bitter orange and juniper. The menthol persists but is more subtle than on the nose. Finishing off rounded and silky smooth, the orange leaves a subtle impression of sweetness while the pine and spice notes give a pleasant kick. Big orange and juniper, menthol top notes and a cassia-led spice.</span></div>",thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, juniper, orange, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,'10015648,1000,shopify,0,deny,manual,12,30,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,20.52
red-square-vodka-2-for-23,Red Square Vodka 2 for £20,"<h1 style=""text-align: center;""><span style=""text-decoration: underline;""><strong>Red Square Vodka 2 for £20</strong></span></h1>
<h2 style=""text-align: center;""><strong>Choose any 2 x 70cl from the below range for only £20</strong></h2>
<p><strong><img src=""https://cdn.shopify.com/s/files/1/0108/3955/6155/files/red_square_20.jpg?v=1596107478"" alt=""""></strong></p><br><br><noscript>Visit <a id=""bundle-builder-app--bundle-link"" href=""https://thedropstore-com.myshopify.com/apps/bundles/bundle/38763"">bundle page</a> to edit the bundle</noscript>",Drop Store,Custom Bundle,,FALSE,Title,Default Title,,,,,,0,shopify,0,deny,manual,20,30,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/bundle_09d255d1-aa4a-4087-9c0b-2103952d4294.jpeg?v=1596528079,1,Red Square Vodka 2 for £20 - thedropstore.com,FALSE,,,,,,,,,,,,,,,,,kg,,
red-square-vodka-2-for-23,,,,,,,,Inventory,,,,,,0,shopify,99,continue,manual,20,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
red-square-vodka-2-for-22,Red Square Russian Vodka 2 for £22,"<h1 style=""text-align: center;""><span style=""text-decoration: underline;""><strong>Red Square Russian Vodka 2 for £22</strong></span></h1>
<h2 style=""text-align: center;""><strong> Red Square Russian Vodka 2 X 70cl bottles for only £22!</strong></h2>
<p><img src=""https://cdn.shopify.com/s/files/1/0108/3955/6155/files/red_russian_22.jpg?v=1596105954"" alt=""""></p><br><br><noscript>Visit <a id=""bundle-builder-app--bundle-link"" href=""https://thedropstore-com.myshopify.com/apps/bundles/bundle/38760"">bundle page</a> to edit the bundle</noscript>",Drop Store,Custom Bundle,,TRUE,Title,Default Title,,,,,,0,shopify,0,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/bundle_4fd35ea1-911f-4d95-816b-495ccb0f80df.jpeg?v=1596528078,1,Red Square Russian Vodka 2 for £22 - thedropstore.com,FALSE,,,,,,,,,,,,,,,,,kg,,
red-square-vodka-2-for-22,,,,,,,,Inventory,,,,,,0,shopify,100,continue,manual,0,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
