Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
liverpool-valencian-orange-gin,Liverpool Valencian Orange Gin,,thedropstore.com,Gin,"citrus, Flavour_Citrus, orange, organic, Price range_Under £30, Size_Regular bottle, Style_Flavoured gin, zesty",FALSE,Title,Default Title,,,,,,1300,shopify,0,deny,manual,25,29,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,14.15
liverpool-organic-rose-petal-gin-12x5cl,Liverpool Organic Rose Petal Gin 12x5cl,,thedropstore.com,Gin,"Flavour_Floral, fragrant, miniature, organic, Price range_Under £30, refreshing, rose petal, Size_Miniature bottle, Style_Flavoured gin",FALSE,Title,Default Title,,,,,10017955,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-rhubarb-ginger-gin-12x5cl,Aber Falls Rhubarb & Ginger Gin 12x5cl,,thedropstore.com,Gin,"crumble, Flavour_Fruity, Flavour_Spicy, ginger, juniper, miniature, piney, rhubarb, Size_Miniature bottle, Size_Regular bottle, Style_Flavoured gin",FALSE,Title,Default Title,,,,,10017954,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-salted-toffee-liqueur-12x5cl,Aber Falls Salted Toffee Liqueur 12x5cl,,thedropstore.com,Liqueur,"award winning, burnt sugar, Flavour_Sweet, Price range_Under £30, rich, salted toffee, Size_Miniature bottle, smooth, Style_Flavoured liqueur, sweet, toffee, velvety",FALSE,Title,Default Title,,,,,10017953,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-coffee-dark-chocolate-liqueur-12x5cl,Aber Falls Coffee & Dark Chocolate Liqueur 12x5cl,,thedropstore.com,Liqueur,"aromatic, award winning, cocoa, coffee, dark chocolate, espresso, Flavour_Chocolate, Flavour_Coffee, Price range_Under £30, rich, roasted, Size_Miniature bottle, Style_Flavoured liqueur, sweet, velvety",FALSE,Title,Default Title,,,,,10017952,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,
aber-falls-violet-liqueur-12x5cl,Aber Falls Violet Liqueur 12x5cl,,thedropstore.com,Liqueur,"award winning, Flavour_Floral, floral, light, parma violet, perfumed, Price range_Under £30, Size_Miniature bottle, Style_Flavoured liqueur, violet",FALSE,Title,Default Title,,,,,10017951,1300,shopify,0,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,10.48
peaky-blinder-gin-12-pack-of-miniatures,Peaky Blinder Gin 12 Pack of Miniatures,,thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, flavour_lemon, juniper, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,10017950,1000,shopify,0,deny,manual,12,20,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,10.48
marylebone-gin-12-pack-of-miniatures,Marylebone Gin 12 Pack of Miniatures,,thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, flavour_lemon, juniper, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,10017949,1000,shopify,0,deny,manual,12,30,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,18.82
city-of-london-distillery-lemon-six-bells-12-pack-of-miniatures,City of London Distillery Lemon Six Bells 12 Pack of Miniatures,,thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, flavour_lemon, juniper, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,10015647,1000,shopify,0,deny,manual,12,30,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,20.52
city-of-london-distillery-murcian-orange-12-pack-of-miniatures,City of London Distillery Murcian Orange 12 Pack of Miniatures,,thedropstore.com,Gin,"12x5cl, angelica, complex, coriander, Flavour_Citrus, Flavour_Dry, juniper, orange, Price range_£30 to £50, Size_Miniature bottle, Style_Dry gin, subtle, wedding favours",FALSE,Title,Default Title,,,,,10015648,1000,shopify,0,deny,manual,12,30,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,kg,,20.52
red-square-vodka-2-for-23,Red Square Vodka 2 for £20,,Drop Store,Custom Bundle,,FALSE,Title,Default Title,,,,,,0,shopify,0,deny,manual,20,30,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/bundle_09d255d1-aa4a-4087-9c0b-2103952d4294.jpeg?v=1596528079,1,Red Square Vodka 2 for £20 - thedropstore.com,FALSE,,,,,,,,,,,,,,,,,kg,,
red-square-vodka-2-for-23,,,,,,,,Inventory,,,,,,0,shopify,99,continue,manual,20,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
red-square-vodka-2-for-22,Red Square Russian Vodka 2 for £22,,Drop Store,Custom Bundle,,TRUE,Title,Default Title,,,,,,0,shopify,0,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/bundle_4fd35ea1-911f-4d95-816b-495ccb0f80df.jpeg?v=1596528078,1,Red Square Russian Vodka 2 for £22 - thedropstore.com,FALSE,,,,,,,,,,,,,,,,,kg,,
red-square-vodka-2-for-22,,,,,,,,Inventory,,,,,,0,shopify,100,continue,manual,0,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
crabbies-whisky-ginger-wine-glass-bundle,"Crabbie's Whisky, Ginger Wine & Glass Bundle",,Drop Store,Custom Bundle,,TRUE,Title,Default Title,,,,,,0,shopify,0,deny,manual,25,36,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/bundle_d0a741cf-e059-4574-bbb9-3e5d5c4351b9.jpeg?v=1596528078,1,"Crabbie's Whisky, Ginger Wine & Glass Bundle - thedropstore.com",FALSE,,,,,,,,,,,,,,,,,kg,,
crabbies-whisky-ginger-wine-glass-bundle,,,,,,,,Inventory,,,,,,0,shopify,99,continue,manual,25,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
red-square-russian-vodka,Red Square Russian Vodka,,thedropstore.com,Vodka,"Price range_Under £30, Size_Regular bottle, Style_Plain vodka",FALSE,Title,Default Title,,,,,,1600,shopify,0,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/red_square_russian.jpg?v=1596528077,1,Red Square Russian Vodka - thedropstore.com,FALSE,,,,,,,,,,,,,,,,,kg,,
caribbean-twist-2-for-20,Caribbean Twist Rums 2 for £20,,thedropstore.com,Custom Bundle,,TRUE,Title,Default Title,,,,,,0,shopify,0,deny,manual,20,28,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0108/3955/6155/products/bundle_69ad7954-985a-47a7-b534-af8bc8b92cba.jpeg?v=1596528077,1,Caribbean Twist Rums 2 for £20 - thedropstore.com,FALSE,,,,,,,,,,,,,,,,,kg,,
caribbean-twist-2-for-20,,,,,,,,Inventory,,,,,,0,shopify,100,continue,manual,20,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
